1	When	when	ADV	WRB	PronType=Int	4	advmod	_	_
2	the	the	DET	DT	Definite=Def|PronType=Art	3	det	_	_
3	uncle	uncle	NOUN	NN	Number=Sing	4	nsubj	_	_
4	came	come	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	10	advcl	_	_
5	into	into	ADP	IN	_	7	case	_	_
6	the	the	DET	DT	Definite=Def|PronType=Art	7	det	_	_
7	room	room	NOUN	NN	Number=Sing	4	nmod	_	_
8	,	,	PUNCT	,	_	10	punct	_	_
9	he	he	PRON	PRP	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	10	nsubj	_	_
10	carried	carry	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	0	root	_	_
11	a	a	DET	DT	Definite=Ind|PronType=Art	12	det	_	_
12	book	book	NOUN	NN	Number=Sing	10	dobj	_	_
13	.	.	PUNCT	.	_	10	punct	_	_

1	It	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	3	nsubj	_	_
2	was	be	VERB	VBD	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	3	cop	_	_
3	red	red	ADJ	JJ	Degree=Pos	0	root	_	_
4	.	.	PUNCT	.	_	3	punct	_	_

