pos ,xyzz,wf2 
 $. ,xyzz,0
 $[ ,xyzz, ' 
"$, ",xyzz,", "
ADJA ,xyzz,environs 
ADJD ,xyzz,I. 
ADV ,xyzz,que 
APPO ,xyzz,l'épouse 
APPR ,xyzz, -- 
APPRART ,xyzz, -- 
APZR ,xyzz,avoir 
ART ,xyzz,DES 
CARD ,xyzz,XI 
FM ,xyzz,tous 
ITJ ,xyzz,oui 
KON ,xyzz,un 
KOUS ,xyzz,sous 
NE ,xyzz,XXII 
NN ,xyzz,CONCLUSION 
PDAT ,xyzz,d'analyse 
PDS ,xyzz,une 
PIAT ,xyzz,ajouta 
PIDAT ,xyzz,jeune 
PIS ,xyzz,aller 
PPER ,xyzz,du 
PPOSAT ,xyzz,donner 
PRELS ,xyzz,qui 
PRF ,xyzz,café 
PROAV ,xyzz,d'un 
PTKANT ,xyzz,avec 
PTKNEG ,xyzz,net 
PTKVZ ,xyzz,fort 
PWAV ,xyzz,dit 
PWS ,xyzz,mon 
TRUNC ,xyzz,en 
VAFIN ,xyzz,C'est 
VAINF ,xyzz,sein 
VMFIN ,xyzz,démêlés 
VVFIN ,xyzz,chrétienne 
VVIMP ,xyzz,j' 
VVINF ,xyzz,bien 
VVIZU ,xyzz,hésitation 
VVPP ,xyzz,maintenant 
XY ,xyzz,n 
